Trait,Authors,Year,Term,Simplified Term,Text Definition,Term Definition Citation,Data Source Citations,
Nesting biology,Fortuin and Gandhi,2021,softwood nesting,soft wood,NA,NA,NA,
Nesting biology,Fortuin and Gandhi,2021,soil nesting,soil,NA,NA,NA,
Nesting biology,Giannini,2020,cavity,cavity,NA,NA,NA,
Nesting biology,Giannini,2020,exposed,exposed,NA,NA,NA,
Nesting biology,Giannini,2020,soil,soil,NA,NA,NA,
Nesting biology,Giannini,2020,termite,termite nest,NA,NA,NA,
Nesting biology,Giannini,2020,multi,variable,NA,NA,NA,
Nesting biology,Graf et al.,2022,above ground,above-ground,NA,Martins et al. (2013),NA,
Nesting biology,Graf et al.,2022,soil,soil,NA,Martins et al. (2013),NA,
Nesting biology,Graham et al.,2021,cavity,cavity,NA,NA,NA,
Nesting biology,Graham et al.,2021,ground,ground,NA,NA,NA,
Nesting biology,Gruver and Caradonna,2021,above-ground nesting,above-ground,NA,NA,NA,
Nesting biology,Gruver and Caradonna,2021,ground nesting,ground,NA,NA,NA,
Nesting biology,Gutiérrez-Chacón et al.,2020,above ground,above-ground,NA,NA,NA,
Nesting biology,Gutiérrez-Chacón et al.,2020,below ground,below-ground,NA,NA,NA,
Nesting biology,Hamblin et al.,2017,cavity,cavity,NA,NA,NA,
Nesting biology,Hamblin et al.,2017,ground,ground,NA,NA,NA,
Nesting biology,Hamblin et al.,2017,stem/wood,variable,NA,NA,NA,
Nesting biology,Harrison et al.,2018,cavities,cavity,NA,NA,NA,
Nesting biology,Harrison et al.,2018,soil burrows,soil burrows,NA,NA,NA,
Nesting biology,Harrison et al.,2018,plant stems,stem,NA,NA,NA,
Nesting biology,Harrison et al.,2018,wood,wood,NA,NA,NA,
Nesting biology,Hoiss et al.,2012,above ground,above-ground,NA,NA,NA,
Nesting biology,Hoiss et al.,2012,below ground,below-ground,NA,NA,NA,
Nesting biology,Hung et al.,2019,nesting aboveground,above-ground,NA,NA,NA,
Nesting biology,Hung et al.,2019,nesting underground,below-ground,NA,NA,NA,
Nesting biology,Hung et al.,2019,nesting opportunistically either above or underground,variable,NA,NA,NA,
Nesting biology,Kammerer et al.,2021,ground nesters,ground,NA,NA,NA,
Nesting biology,Kammerer et al.,2021,cavity/stem nesters,stem,NA,NA,NA,
Nesting biology,Lichtenberg et al.,2017,nesting in ground (yes),ground,NA,NA,NA,
Nesting biology,Lichtenberg et al.,2017,nesting in ground (no),NA,NA,NA,NA,
Nesting biology,Mazzeo and Torretta,2015,above-ground nesting,above-ground,"included species that nest in pre-existing cavities (e.g. many species of Megachile) and species which make the burrows themselves (e.g. Xylocopa, Lithurgis)",NA,NA,
Nesting biology,Mazzeo and Torretta,2015,below-ground nesting,below-ground,NA,NA,NA,
Nesting biology,Montoya-Pfeiffer et al.,2020,aboveground,above-ground,NA,NA,NA,
Nesting biology,Montoya-Pfeiffer et al.,2020,belowground,below-ground,NA,NA,NA,
Nesting biology,Munyuli,2014,cavity nesters,cavity,NA,NA,NA,
Nesting biology,Munyuli,2014,hive+house wall nesters,variable,NA,NA,NA,
Nesting biology,Munyuli,2014,termite mounts+underground nesters,variable,NA,NA,NA,
Nesting biology,Odanaka and Rehan,2019,ground,ground,NA,Kratschmer et al. (2019),NA,
Nesting biology,Odanaka and Rehan,2019,stem,stem,NA,Kratschmer et al. (2019),NA,
Nesting biology,Persson et al.,2015,above-ground,above-ground,NA,NA,NA,
Nesting biology,Persson et al.,2015,below-ground,below-ground,NA,NA,NA,
Nesting biology,Pisanty and Mandelik,2015,aboveground,above-ground,NA,NA,NA,
Nesting biology,Pisanty and Mandelik,2015,belowground,below-ground,NA,NA,NA,
Nesting biology,Poulsen and Rasmussen,2020,ground nesting,ground,"refers to a taxon that is nesting below ground surface in cavities, burrows, or similar",NA,NA,
Nesting biology,Poulsen and Rasmussen,2020,wood nesting,wood,refers to a taxon that is nesting inside pre-existing or self-excavated tree stems or sticks,NA,NA,
Nesting biology,Shi et al.,2022,above-ground,above-ground,NA,NA,NA,
Nesting biology,Shi et al.,2022,below-ground,below-ground,NA,NA,NA,
Nesting biology,Sobieraj-Betlinska et al.,2022,above-ground,above-ground,NA,NA,NA,
Nesting biology,Sobieraj-Betlinska et al.,2022,below-ground,below-ground,NA,NA,NA,
Nesting biology,Sobieraj-Betlinska et al.,2022,cleptoparasitic,cleptoparasite,NA,NA,NA,
Nesting biology,Sobieraj-Betlinska et al.,2022,mixed,variable,NA,NA,NA,
Nesting biology,Syndeham et al.,2016,above ground,above-ground,NA,NA,NA,
Nesting biology,Syndeham et al.,2016,below ground,below-ground,NA,NA,NA,
Nesting biology,Tonietto et al.,2017,aboveground,above-ground,NA,NA,NA,
Nesting biology,Tonietto et al.,2017,ground,ground,NA,NA,NA,
Nesting biology,Turo et al.,2021,cavity nesting (non-pith),cavity,NA,NA,NA,
Nesting biology,Turo et al.,2021,parasitic,cleptoparasite,NA,NA,NA,
Nesting biology,Turo et al.,2021,ground nesting,ground,NA,NA,NA,
Nesting biology,Turo et al.,2021,human cultivated,human-made structure,NA,NA,NA,
Nesting biology,Turo et al.,2021,pith nesting,stem,NA,NA,NA,
Nesting biology,Stemkovski et al.,2020,above-ground,above-ground,NA,NA,Pardee (2018),
Nesting biology,Stemkovski et al.,2020,below-ground,below-ground,NA,NA,Pardee (2018),
Nesting biology,Ekroos et al.,2013,above ground,above-ground,NA,NA,Persson (2011),
Nesting biology,Ekroos et al.,2013,below ground,below-ground,NA,NA,Persson (2011),
Nesting biology,Samnegard et al.,2015,above-ground,above-ground,NA,NA,Refs in appendix,
Nesting biology,Samnegard et al.,2015,below-ground,below-ground,NA,NA,Refs in appendix,
Nesting biology,Le Feon et al.,2015,above ground,above-ground,nest in various types of above-ground cavities (e.g. in plant stems or wood),NA,Refs in paper,
Nesting biology,Le Feon et al.,2015,below ground,below-ground,nest in the soil,NA,Refs in paper,
Nesting biology,McCravy et al.,2019,aboveground,above-ground,NA,NA,Refs in paper,
Nesting biology,McCravy et al.,2019,belowground,below-ground,NA,NA,Refs in paper,
Nesting biology,Nooten et al.,2020,ground nesting,ground,substrate used: ... soil,NA,Refs in paper,
Nesting biology,Nooten et al.,2020,stem nesting,stem,substrate used: wood or pithy stems,NA,Refs in paper,
Nesting biology,Rollin et al.,2015,endogeic,endogeic,nest in the ground,Oertli et al. (2005); Michener (2007),refs in paper,
Nesting biology,Rollin et al.,2015,hypergeic,hypergeic,"nest in a variety of structures above ground, e.g. in natural cavities (branches and twigs of trees and bushes, spaces under rocks, etc.)",Oertli et al. (2005); Michener (2007),refs in paper,
Nesting biology,Geppert et al.,2023,above ground,above-ground,NA,NA,Refs in supplementary,
Nesting biology,Geppert et al.,2023,below ground,below-ground,NA,NA,Refs in supplementary,
Nesting biology,Cabral Borges et al.,2020,ant,ant nest,species that nest in association with a pre-existent ant nest,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,cavity,cavity,species that nest in a pre-existent or excavated cavity in tree trunks or branches,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,exposed,exposed,species with exposed nests that are constructed around tree trunks or branches or around human-made structures,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,cavity/human-made,human-made structure,"species that nest in a pre-existent or excavated cavity in human-made structures such as walls, bricks and fences",NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,soil,soil,species with subterranean nests in excavated or pre-existent cavities belowground,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,soil/termite,termite nest,"species that nest belowground, in association with subterranean termite nests",NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,termite,termite nest,species that nest in association with pre-existent termite nests,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,soil/cavity/human-made,variable,species that nest belowground and in pre-existent natural or human-made nests,NA,refs included in dataset CSV,
Nesting biology,Cabral Borges et al.,2020,exposed/cavity,variable,species that nest in exposed areas and in cavities,NA,refs included in dataset CSV,
Nesting biology,Kratschmer et al.,2019,above-ground nesting,above-ground,"nesting in pre-existing cavities, plant stems, dead wood",NA,Scheuchel and Willner (2016),
Nesting biology,Kratschmer et al.,2019,parasitic,cleptoparasite,females lay their eggs in nests of specific host species,NA,Scheuchel and Willner (2016),
Nesting biology,Kratschmer et al.,2019,ground nesting,ground,excavate nest in the ground,NA,Scheuchel and Willner (2016),
Nesting biology,Kratschmer et al.,2021,aboveground nesting,above-ground,"require preexisting cavities, dead wood, or plant stems",NA,Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Nesting biology,Kratschmer et al.,2021,ground nesting,ground,excavate nests in the ground,NA,Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Nesting biology,Carrie et al.,2016,above-ground,above-ground,NA,NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Nesting biology,Carrie et al.,2016,below-ground,below-ground,NA,NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Nesting biology,Coutinho et al.,2021,above-ground,above-ground,NA,NA,Stockhammer (1966); Michener (2000); Almeida (2008),
Nesting biology,Coutinho et al.,2021,below-ground,below-ground,NA,NA,Stockhammer (1966); Michener (2000); Almeida (2008),
Nesting biology,Coutinho et al.,2021,mixed,variable,NA,NA,Stockhammer (1966); Michener (2000); Almeida (2008),
Nesting biology,Dorian et al.,2022,above-ground,above-ground,NA,NA,Harmon-Threatt (2020),
Nesting biology,Dorian et al.,2022,below-ground,below-ground,NA,NA,Harmon-Threatt (2020),
Diet breadth,Banaszak-Cibicka and Zmihorski,2012,oligolectic,oligolectic,single plant species or genus,NA,Banaszak (1993); Scheuchl (1995); Schmid-Egger and Scheuchl (1997); Banaszak et al. (2001); Pesenko et al. (2002); Pawlikowski and Celary (2003),
Diet breadth,Banaszak-Cibicka and Zmihorski,2012,polylectic,polylectic,many plant species,NA,Banaszak (1993); Scheuchl (1995); Schmid-Egger and Scheuchl (1997); Banaszak et al. (2001); Pesenko et al. (2002); Pawlikowski and Celary (2003),
Diet breadth,Bartomeus et al.,2013,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Bartomeus et al.,2013,polylectic,polylectic,NA,NA,NA,
Diet breadth,Bommarco et al.,2010,oligolectic (specialist),oligolectic,bees that collect pollen only from plants within the same plant family,NA,e.g. Westrich (1990); Michener (2000),
Diet breadth,Bommarco et al.,2010,polylectic (generalist),polylectic,bees that collect pollen from different plant families,NA,e.g. Westrich (1990); Michener (2000),
Diet breadth,Buchholz et al.,2020,oligolectic,oligolectic,NA,NA,"Amiet (1996); Amiet et al. (1999, 2001, 2004, 2007); Gokcezade et al. (2010)",
Diet breadth,Buchholz et al.,2020,polylectic,polylectic,NA,NA,"Amiet (1996); Amiet et al. (1999, 2001, 2004, 2007); Gokcezade et al. (2010)",
Diet breadth,Cane et al.,2006,floral generalist,generalist,NA,NA,"Hurd and Linsley (1975); Krombein et al. (1979); Minckley et al. (1999, 2000)",
Diet breadth,Cane et al.,2006,Larrea specialist,Larrea specialist,NA,NA,"Hurd and Linsley (1975); Krombein et al. (1979); Minckley et al. (1999, 2000)",
Diet breadth,Carper et al.,2014,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Carper et al.,2014,polylectic,polylectic,NA,NA,NA,
Diet breadth,Carrie et al.,2016,oligolectic,oligolectic,diet specialization was definted by the number of plant families bees collect pollen from (polylectic species = several plant families; oligolectic species = one plant family),NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Diet breadth,Carrie et al.,2016,polylectic,polylectic,diet specialization was definted by the number of plant families bees collect pollen from (polylectic species = several plant families; oligolectic species = one plant family),NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Diet breadth,Cohen et al.,2022,oligolectic,oligolectic,Generalists = polylectic. Example species: Dufourea spp.,NA,NA,
Diet breadth,Cohen et al.,2022,polylectic,polylectic,Specialists = oligolectic. Example species: Xylocopa tabaniformis,NA,NA,
Diet breadth,Cohen et al.,2022,variable,variable,When trait varies within taxon. Example species: Lasioglossum spp.,NA,NA,
Diet breadth,Coutinho et al.,2021,oligolectic (pollen specialist),oligolectic,NA,NA,Michener (2000); Menezes et al. (2012); Paula (2014),
Diet breadth,Coutinho et al.,2021,polylectic (pollen generalist),polylectic,NA,NA,Michener (2000); Menezes et al. (2012); Paula (2014),
Diet breadth,Cunningham-Minnick et al.,2020,oligo,oligolectic,represents a species suggested to forage on <=10 plant families,NA,NA,
Diet breadth,Cunningham-Minnick et al.,2020,poly,polylectic,assigned to species that forage on >10 families,NA,NA,
Diet breadth,Dalmazzo,2010,especialistas,specialist,"abejas que colectan de un mismo género, tribu, subfamilia, o familia de plantas",Minckley et al. (1999),NA,
Diet breadth,Dalmazzo,2010,generalistas,generalist,especies que recogen polen de un amplio número de especies pertenecientes a diversos taxones,Minckley et al. (1999),NA,
Diet breadth,Davis and Comai,2022,oligolectic,oligolectic,NA,NA,Scott (2011); Michener (2007),
Diet breadth,Davis and Comai,2022,parasitic,parasitic,NA,NA,Scott (2011); Michener (2007),
Diet breadth,Davis and Comai,2022,polylectic,polylectic,NA,NA,Scott (2011); Michener (2007),
Diet breadth,De Palma et al.,2015,obligately oligolectic,obligately oligolectic,NA,NA,NA,
Diet breadth,De Palma et al.,2015,polylectic/flexible,polylectic,NA,NA,NA,
Diet breadth,Dorian et al.,2022,specialist,specialist,specialists collect pollen from plants belonging to a single family or a few related genera,NA,Fowler (2016),
Diet breadth,Dorian et al.,2022,generalist,generalist,NA,NA,Fowler (2016),
Diet breadth,Forrest et al.,2015,oligolectic (pollen specialist),oligolectic,NA,NA,Krombein et al. (1979),
Diet breadth,Forrest et al.,2015,polylectic (pollen generalist),polylectic,NA,NA,Krombein et al. (1979),
Diet breadth,Fortuin and Gandhi,2021,generalist,generalist,NA,NA,NA,
Diet breadth,Fortuin and Gandhi,2021,specialist,specialist,NA,NA,NA,
Diet breadth,Garibaldi et al.,2015,oligolectic (no),oligolectic,NA,NA,NA,
Diet breadth,Garibaldi et al.,2015,oligolectic (yes),oligolectic,flower visitors that collect pollen from one or a few closely related plant species,NA,NA,
Diet breadth,Geppert et al.,2023,oligolectic,oligolectic,NA,NA,Refs in supplementary,
Diet breadth,Geppert et al.,2023,polylectic,polylectic,NA,NA,Refs in supplementary,
Diet breadth,Graf et al.,2022,generalist,generalist,NA,Martins et al. (2013),NA,
Diet breadth,Graf et al.,2022,specialist,specialist,NA,Martins et al. (2013),NA,
Diet breadth,Graham et al.,2021,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Graham et al.,2021,polylectic,polylectic,NA,NA,NA,
Diet breadth,Gruver and Caradonna,2021,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Gruver and Caradonna,2021,polylectic,polylectic,NA,NA,NA,
Diet breadth,Guenat et al.,2018,oligolectic,oligolectic,NA,NA,"Michener (1971, 2000); Pauly (1998); Eardley et al. (2010)",
Diet breadth,Guenat et al.,2018,polylectic,polylectic,NA,NA,"Michener (1971, 2000); Pauly (1998); Eardley et al. (2010)",
Diet breadth,Hall et al.,2019,broadly polylectic,broadly polylectic,NA,Cane and Sipes (2006),NA,
Diet breadth,Hall et al.,2019,mesolectic,mesolectic,NA,Cane and Sipes (2006),NA,
Diet breadth,Hall et al.,2019,oligolectic,oligolectic,NA,Cane and Sipes (2006),NA,
Diet breadth,Hall et al.,2019,polylectic,polylectic,NA,Cane and Sipes (2006),NA,
Diet breadth,Harrison et al.,2018,not oligolectic,NA,NA,NA,NA,
Diet breadth,Harrison et al.,2018,oligolectic,oligolectic,females are known to collect polen from within a single plant family,NA,NA,
Diet breadth,Hoiss et al.,2012,oligolectic,oligolectic,only one family or genus as pollen source,NA,NA,
Diet breadth,Hoiss et al.,2012,polylectic,polylectic,use of more than one plant family... as pollen source,NA,NA,
Diet breadth,Hung et al.,2019,cleptoparasitic,parasitic,limited to pollen resources of their host bees,NA,NA,
Diet breadth,Hung et al.,2021,mesolectic,mesolectic,NA,NA,NA,
Diet breadth,Hung et al.,2019,mesolectic,mesolectic,restricted to or strongly preferring pollen from fewer than five plant families,NA,NA,
Diet breadth,Hung et al.,2021,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Hung et al.,2019,oligolectic,oligolectic,specialized on a single plant family,NA,NA,
Diet breadth,Hung et al.,2019,polylectic,polylectic,accepting pollen from five or more plant families,NA,NA,
Diet breadth,Hung et al.,2021,polylectic,polylectic,NA,NA,NA,
Diet breadth,Jacquemin et al.,2020,oligolectic,oligolectic,visiting a small number of floral genera from a single plant family,Robertson (1927),NA,
Diet breadth,Jacquemin et al.,2020,polylectic,polylectic,visiting several floral genera from more than one plant familiy,Robertson (1927),NA,
Diet breadth,Kratschmer et al.,2019,oligolectic,oligolectic,pollen specialists: pollen is collected from closely related or single plant taxa,NA,Scheuchel and Willner (2016),
Diet breadth,Kratschmer et al.,2021,oligolectic,oligolectic,"bees are specialized on closely related/single plant taxa (i.e., narrow oligolecty, monolecty cf. Cane and Sipes, 2006)",Cane and Sipes (2006),Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Diet breadth,Kratschmer et al.,2019,polylectic,polylectic,pollen generalists: pollen is collected on different plant taxa but species can show a certain degree of flower constancy,NA,Scheuchel and Willner (2016),
Diet breadth,Kratschmer et al.,2021,polylectic,polylectic,"bees collect pollen from different plant taxa (i.e., broad polylecty, mesolecty cf. Cane and Sipes, 2006)",Cane and Sipes (2006),Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Diet breadth,Lane et al.,2021,oligolectic,oligolectic,consistently provision their young with pollen from a single plant family,Linsley and MacSwain (1958),Refs in table,
Diet breadth,Lane et al.,2021,polylectic,polylectic,NA,Linsley and MacSwain (1958),Refs in table,
Diet breadth,Lazarina et al.,2016,oligolectic,oligolectic,visiting a narrow variety of plant species,NA,Petanidou et al. (2013); Müller (2015); Westrich (1989),
Diet breadth,Lazarina et al.,2016,polylectic,polylectic,visiting a wide variety of plant spaces,NA,Petanidou et al. (2013); Müller (2015); Westrich (1989),
Diet breadth,Le Feon et al.,2015,generalist,generalist,polylectic (i.e. collecting pollen from several plant families) and non-oil-collecting species,NA,Refs in paper,
Diet breadth,Le Feon et al.,2015,specialist (oil-collecting),specialist (oil-collecting),collect oil on specific plant species,NA,Refs in paper,
Diet breadth,Le Feon et al.,2015,specialist (oligolectic),specialist,collect pollen from a single plant family,NA,Refs in paper,
Diet breadth,Maas et al.,2021,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Maas et al.,2021,polylectic,polylectic,NA,NA,NA,
Diet breadth,Main et al.,2019,generalist,generalist,"Forages on a broad range of floral resources (i.e., polylectic)",NA,Brittain and Potts (2011); Otieno et al. (2015),
Diet breadth,Main et al.,2019,specialist,specialist,"Forages on limited resources; requires specific habitat (i.e., oligolectic)",NA,Brittain and Potts (2011); Otieno et al. (2015),
Diet breadth,Mazzeo and Torretta,2015,generalist or polylectic,generalist,NA,NA,NA,
Diet breadth,Mazzeo and Torretta,2015,specialist or oligolectic/monolectic,specialist,NA,NA,NA,
Diet breadth,McCravy et al.,2019,oligolectic,oligolectic,NA,NA,Refs in paper,
Diet breadth,McCravy et al.,2019,polylectic,polylectic,NA,NA,Refs in paper,
Diet breadth,Montoya-Pfeiffer et al.,2020,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Montoya-Pfeiffer et al.,2020,polylectic,polylectic,NA,NA,NA,
Diet breadth,Moretti et al.,2009,monolectic,monolectic,pollen collecting at a single species,NA,NA,
Diet breadth,Moretti et al.,2009,no lectic status,parasitic,having no pollen collecting requirements (i.e. a cleptoparasite),NA,NA,
Diet breadth,Moretti et al.,2009,oligolectic,oligolectic,pollen collecting restricted to plants within the same plant family,NA,NA,
Diet breadth,Moretti et al.,2009,polylectic,polylectic,pollen collecting on a number of species from different plant families,NA,NA,
Diet breadth,Normandin et al.,2017,oligolectic,oligolectic,NA,NA,Ascher and Pickering (2014),
Diet breadth,Normandin et al.,2017,polylectic,polylectic,NA,NA,Ascher and Pickering (2014),
Diet breadth,Odanaka and Rehan,2019,oligolecty,oligolectic,NA,Kratschmer et al. (2019),NA,
Diet breadth,Odanaka and Rehan,2019,parasitic,parasitic,NA,Kratschmer et al. (2019),NA,
Diet breadth,Odanaka and Rehan,2019,polylecty,polylectic,NA,Kratschmer et al. (2019),NA,
Diet breadth,Papanikolaou et al.,2017,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Papanikolaou et al.,2017,polylectic,polylectic,NA,NA,NA,
Diet breadth,Passaseo et al.,2020,generalist,generalist,NA,NA,Banaszak-Cibicka and Zmihorski (2012); Geslin et al. (2013),
Diet breadth,Passaseo et al.,2020,specialist,specialist,NA,NA,Banaszak-Cibicka and Zmihorski (2012); Geslin et al. (2013),
Diet breadth,Pisanty and Mandelik,2015,oligolege,oligolectic,single plant family,NA,NA,
Diet breadth,Pisanty and Mandelik,2015,polylege,polylectic,two or more plant families,NA,NA,
Diet breadth,Rhoades et al.,2017,oligolectic,oligolectic,NA,NA,Williams et al. (2010); Kennedy et al. (2013),
Diet breadth,Rhoades et al.,2017,polylectic,polylectic,NA,NA,Williams et al. (2010); Kennedy et al. (2013),
Diet breadth,Ricotta and Moretti,2011,monolectic,monolectic,pollen collecting at a single species,NA,NA,
Diet breadth,Ricotta and Moretti,2011,no lectic status,parasitic,"no feeding specialization having no pollen collecting requirements (i.e., cleptoparasite)",NA,NA,
Diet breadth,Ricotta and Moretti,2011,oligolectic,oligolectic,pollen collecting restricted to plants within the same plant family,NA,NA,
Diet breadth,Ricotta and Moretti,2011,polylectic,polylectic,pollen collecting on a number of species from different plant families,NA,NA,
Diet breadth,Rodriguez et al.,2021,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Rodriguez et al.,2021,polylectic,polylectic,NA,NA,NA,
Diet breadth,Rollin et al.,2015,oligolectic,oligolectic,specialized on a particular pollen taxon,Michener (2007),refs in paper,
Diet breadth,Rollin et al.,2015,polylectic,polylectic,forage on various unrelated kinds of flowers for pollen,Michener (2007),refs in paper,
Diet breadth,Sobieraj-Betlinska et al.,2022,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Sobieraj-Betlinska et al.,2022,polylectic,polylectic,NA,NA,NA,
Diet breadth,Syndeham et al.,2016,pollen specialist (no),specialist,NA,NA,NA,
Diet breadth,Syndeham et al.,2016,pollen specialist (yes),specialist,NA,NA,NA,
Diet breadth,Tonietto et al.,2017,not oligolectic,NA,NA,NA,NA,
Diet breadth,Tonietto et al.,2017,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Turo et al.,2021,generalist,generalist,NA,NA,NA,
Diet breadth,Turo et al.,2021,specialist,specialist,NA,NA,NA,
Diet breadth,Williams et al.,2010,generalist,generalist,NA,NA,NA,
Diet breadth,Williams et al.,2010,specialist,specialist,NA,NA,NA,
Diet breadth,Wilson and Jamieson,2019,generalist,generalist,collecting pollen from many plant families,NA,Gibbs et al.,
Diet breadth,Wilson and Jamieson,2019,specialist,specialist,collecting or preferring pollen from one plant family,NA,Gibbs et al.,
Diet breadth,Woodcock et al.,2014,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Woodcock et al.,2014,polylectic,polylectic,NA,NA,NA,
Diet breadth,Wray et al.,2014,oligolectic,oligolectic,NA,NA,NA,
Diet breadth,Wray et al.,2014,polylectic,polylectic,NA,NA,NA,
